Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
Wok in the Clouds,"Khan Market, Central Delhi", Central Delhi,Delhi,"Chinese,  Thai,  Asian,  North Indian,  Continental",4.3,646,2200
MGM Club,"MGM Residency 19,Daryaganj, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai,  Chinese",4.4,11,1800
Sandoz,"Ashok Vihar Phase - 2, North Delhi", North Delhi,Delhi,"North Indian,  Chinese",4.3,851,1000
Molecule Air Bar,"Green Park, South Delhi", South Delhi,Delhi,North Indian,4.2,555,1500
Spezia Bistro,"Hudson Lane, North Delhi", North Delhi,Delhi,"Fast Food,  Italian,  Continental,  Oriental ",4.5,1482,1200
Clue,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Italian,  Continental,  Chinese,  Oriental ,  Street Food",3.9,1296,1500
Thalassery Restaurant,"Rajinder Nagar, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Fast Food",5,1,800
Anglow,"Khan Market, Central Delhi", Central Delhi,Delhi,"North Indian,  European,  Continental",4.3,85,2200
Yellow Brick Road,"Ambassador,Khan Market, Central Delhi", Central Delhi,Delhi,"Continental,  North Indian,  Italian,  South Indian",4.4,532,3500
Suruchi,"Karol Bagh, Central Delhi", Central Delhi,Delhi,"Rajasthani,  North Indian,  Gujarati",4.2,55,800
Sevilla,"The Claridges,Aurangzeb Road, Central Delhi", Central Delhi,Delhi,"Italian,  Spanish",4.5,306,5000
Sandoz,"Lajpat Nagar - 3, South Delhi", South Delhi,Delhi,"North Indian,  Chinese",4.3,431,1000
Aura,"The Claridges,Aurangzeb Road, Central Delhi", Central Delhi,Delhi,Finger Food,4.7,3,4000
BFF (Beer Food Feast) Restro Bar,"Karol Bagh, Central Delhi", Central Delhi,Delhi,"North Indian,  Continental,  Oriental ,  Finger Food",4.1,25,2000
La Vie Pizzeria,"Khan Market, Central Delhi", Central Delhi,Delhi,"Italian,  Pizza",4.3,120,1500
Punjab Grill,"Khan Market, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.1,156,2200
Castle Barbeque,"Pacific Mall,Tagore Garden, West Delhi", West Delhi,Delhi,"North Indian,  Chinese",4,1652,2000
Lazeez Affaire,"Malcha Marg Shopping Complex,Chanakyapuri, South Delhi", South Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.4,1275,2600
Gola Sizzlers,"Preet Vihar, East Delhi", East Delhi,Delhi,"Sizzlers,  North Indian,  Chinese",4.2,83,1200
Socia L Affaire,"Karol Bagh, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  European,  Oriental ",3.6,51,1500
Jade,"The Claridges,Aurangzeb Road, Central Delhi", Central Delhi,Delhi,"Chinese,  Seafood",4,40,2500
Lazy Bear,"Hudson Lane, North Delhi", North Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4.1,570,1100
Local heights,"Punjabi Bagh, West Delhi", West Delhi,Delhi,North Indian,3.8,426,800
Kaarobaar,"Rajinder Nagar, West Delhi", West Delhi,Delhi,"North Indian,  Fast Food,  Chinese",3.9,12,900
SAZ,"Sundar Nagar, Central Delhi", Central Delhi,Delhi,American,4.2,40,3000
The Waffle Co.,"Rajinder Nagar, West Delhi", West Delhi,Delhi,"Desserts,  Waffle,  Shakes",5,1,400
Qubitos - The Terrace Cafe,"Rajouri Garden, West Delhi", West Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Thai,  Mexican,  European",4.1,2422,1500
Bell Pepperz,"Community Centre,Ashok Vihar Phase - 2, North Delhi", North Delhi,Delhi,"North Indian,  Oriental ",4.4,643,1200
736 AD Cafe & Bar,"Vijay Nagar, North Delhi", North Delhi,Delhi,"Multi-Cuisine,  Italian,  Chinese,  Continental,  Lebanese",4.2,2062,1500
Jamun,"Lodhi Colony, South Delhi", South Delhi,Delhi,"North Indian,  Seafood,  Andhra,  Kerala",4.4,165,3000
Ping's Cafe Orient,"Lodhi Colony, South Delhi", South Delhi,Delhi,Asian,4.4,306,2100
Maini's Green Leaf,"Unity One Mall,Shahdara, East Delhi", East Delhi,Delhi,"North Indian,  Italian,  Chinese",4.3,340,1000
Elan,"The Lodhi,Lodhi Road, South Delhi", South Delhi,Delhi,"Continental,  North Indian,  Italian",4.3,203,4000
MKT,"The Chanakya,Chanakyapuri, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Mexican,  European,  Seafood,  Asian",4.5,899,1900
Sandoz,"Karol Bagh, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese",3.1,8,1000
Guppy,"Lodhi Colony, South Delhi", South Delhi,Delhi,"Asian,  Japanese,  Oriental ",4.3,291,2500
AlKauser,"Chanakyapuri, South Delhi", South Delhi,Delhi,"Mughlai,  North Indian",4,12,800
G2 Cafe,"Anand Vihar, East Delhi", East Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  European,  Asian",4.2,510,1600
Breakin' Brew,"Anand Vihar, East Delhi", East Delhi,Delhi,"Italian,  Continental,  Oriental ",4.6,58,900
Kake Da Hotel,"Rajinder Nagar, West Delhi", West Delhi,Delhi,North Indian,3.6,7,1000
Bake Club,"East Patel Nagar, West Delhi", West Delhi,Delhi,"Bakery and Confectionary,  Desserts,  Fast Food",5,1,500
The Sky High,"Ansal Plaza Mall,Khel Gaon, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Mughlai",4.2,1629,2000
The Salt Cafe Kitchen & Bar,"Preet Vihar, East Delhi", East Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  American",4.3,1479,2000
Sana-Di-Ge,"Malcha Marg Shopping Complex,Chanakyapuri, South Delhi", South Delhi,Delhi,"Seafood,  North Indian,  Goan,  Kerala",4.4,481,2200
Anardana Modern Kitchen & Bar,"Preet Vihar, East Delhi", East Delhi,Delhi,"North Indian,  Italian,  Chinese,  Continental",4.3,434,1700
Perbacco,"The Lodhi,Lodhi Road, South Delhi", South Delhi,Delhi,Italian,4,22,3000
Uncultured Cafe & Bar,"Kailash Colony, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Finger Food",4.3,2548,1500
Elma's Brasserie,"Mehar Chand Market,Lodhi Colony, South Delhi", South Delhi,Delhi,"Continental,  Italian,  European,  Desserts",4.4,108,1200
Verandah Moonshine,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Fast Food",4.2,939,1500
Breath - Fine Lounge and Bar,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Chinese",3.9,622,1200
Pinjore,"East Patel Nagar, West Delhi", West Delhi,Delhi,North Indian,3.6,13,1000
The Barbeque Company,"Jail Road, West Delhi", West Delhi,Delhi,"North Indian,  Barbecue,  Chinese",4.3,2478,2100
Xpose Lounge,"ITL Twin Tower,Netaji Subhash Place, North Delhi", North Delhi,Delhi,"North Indian,  Chinese,  Finger Food",3.9,1294,1700
Berco's,"Kamla Nagar, North Delhi", North Delhi,Delhi,"Chinese,  Thai",4.1,350,1300
Gyan's Restaurant,"East Patel Nagar, West Delhi", West Delhi,Delhi,North Indian,4.1,17,800
